Destination_state,Origin_state,Total migrants employment
State - ARUNACHAL PRADESH (12),Other Countries,61
State - ARUNACHAL PRADESH (12),Unclassifiable,28
State - NAGALAND (13),Total,"110,779"
State - NAGALAND (13),Last residence within India,"108,637"
State - NAGALAND (13),Within the state of enumeration but outside the place of enumeration,"75,650"
State - NAGALAND (13),Elsewhere in the district of enumeration,"38,786"
State - NAGALAND (13),In other districts of the state of enumeration,"36,864"
State - NAGALAND (13),States in India beyond the state of enumeration,"32,987"
State - NAGALAND (13),Jammu & Kashmir,13
State - NAGALAND (13),Himachal Pradesh,12
State - NAGALAND (13),Punjab,33
State - NAGALAND (13),Chandigarh,4
State - NAGALAND (13),Uttarakhand,37
State - NAGALAND (13),Haryana,48
State - NAGALAND (13),NCT of Delhi,5
State - NAGALAND (13),Rajasthan,351
State - NAGALAND (13),Uttar Pradesh,"1,044"
State - NAGALAND (13),Bihar,"5,841"
State - NAGALAND (13),Sikkim,33
State - NAGALAND (13),Arunachal Pradesh,130
State - NAGALAND (13),Nagaland,0
State - NAGALAND (13),Manipur,"3,355"
State - NAGALAND (13),Mizoram,70
State - NAGALAND (13),Tripura,914
State - NAGALAND (13),Meghalaya,437
State - NAGALAND (13),Assam,"17,354"
State - NAGALAND (13),West Bengal,"1,123"
State - NAGALAND (13),Jharkhand,648
State - NAGALAND (13),Odisha,448
State - NAGALAND (13),Chhattisgarh,28
State - NAGALAND (13),Madhya Pradesh,42
State - NAGALAND (13),Gujarat,13
State - NAGALAND (13),Daman & Diu,0
State - NAGALAND (13),Dadra & Nagar Haveli,0
State - NAGALAND (13),Maharashtra,97
State - NAGALAND (13),Andhra Pradesh,107
State - NAGALAND (13),Karnataka,121
State - NAGALAND (13),Goa,3
State - NAGALAND (13),Lakshadweep,0
State - NAGALAND (13),Kerala,533
State - NAGALAND (13),Tamil Nadu,136
State - NAGALAND (13),Puducherry,3
State - NAGALAND (13),Andaman & Nicobar Islands,4
State - NAGALAND (13),Last residence outside India,"2,117"
State - NAGALAND (13),Countries in Asia beyond India,"2,020"
State - NAGALAND (13),Other Countries,97
State - NAGALAND (13),Unclassifiable,25
State - MANIPUR (14),Total,"22,750"
State - MANIPUR (14),Last residence within India,"22,571"
State - MANIPUR (14),Within the state of enumeration but outside the place of enumeration,"20,348"
State - MANIPUR (14),Elsewhere in the district of enumeration,"13,406"
State - MANIPUR (14),In other districts of the state of enumeration,"6,942"
State - MANIPUR (14),States in India beyond the state of enumeration,"2,223"
State - MANIPUR (14),Jammu & Kashmir,15
State - MANIPUR (14),Himachal Pradesh,7
State - MANIPUR (14),Punjab,9
State - MANIPUR (14),Chandigarh,2
State - MANIPUR (14),Uttarakhand,9
State - MANIPUR (14),Haryana,16
State - MANIPUR (14),NCT of Delhi,110
State - MANIPUR (14),Rajasthan,47
State - MANIPUR (14),Uttar Pradesh,106
State - MANIPUR (14),Bihar,450
State - MANIPUR (14),Sikkim,28
State - MANIPUR (14),Arunachal Pradesh,17
State - MANIPUR (14),Nagaland,118
State - MANIPUR (14),Manipur,0
State - MANIPUR (14),Mizoram,126
State - MANIPUR (14),Tripura,71
State - MANIPUR (14),Meghalaya,86
State - MANIPUR (14),Assam,626
State - MANIPUR (14),West Bengal,103
State - MANIPUR (14),Jharkhand,26
State - MANIPUR (14),Odisha,20
State - MANIPUR (14),Chhattisgarh,1
State - MANIPUR (14),Madhya Pradesh,9
State - MANIPUR (14),Gujarat,8
State - MANIPUR (14),Daman & Diu,0
State - MANIPUR (14),Dadra & Nagar Haveli,0
State - MANIPUR (14),Maharashtra,57
State - MANIPUR (14),Andhra Pradesh,16
State - MANIPUR (14),Karnataka,30
State - MANIPUR (14),Goa,12
State - MANIPUR (14),Lakshadweep,4
State - MANIPUR (14),Kerala,62
State - MANIPUR (14),Tamil Nadu,31
State - MANIPUR (14),Puducherry,0
State - MANIPUR (14),Andaman & Nicobar Islands,1
State - MANIPUR (14),Last residence outside India,177
State - MANIPUR (14),Countries in Asia beyond India,148
State - MANIPUR (14),Other Countries,29
State - MANIPUR (14),Unclassifiable,2
State - MIZORAM (15),Total,"62,828"
State - MIZORAM (15),Last residence within India,"59,386"
State - MIZORAM (15),Within the state of enumeration but outside the place of enumeration,"47,673"
State - MIZORAM (15),Elsewhere in the district of enumeration,"22,207"
State - MIZORAM (15),In other districts of the state of enumeration,"25,466"
State - MIZORAM (15),States in India beyond the state of enumeration,"11,713"
State - MIZORAM (15),Jammu & Kashmir,7
State - MIZORAM (15),Himachal Pradesh,4
State - MIZORAM (15),Punjab,10
State - MIZORAM (15),Chandigarh,3
State - MIZORAM (15),Uttarakhand,13
State - MIZORAM (15),Haryana,15
State - MIZORAM (15),NCT of Delhi,48
State - MIZORAM (15),Rajasthan,31
State - MIZORAM (15),Uttar Pradesh,151
State - MIZORAM (15),Bihar,690
State - MIZORAM (15),Sikkim,9
State - MIZORAM (15),Arunachal Pradesh,39
State - MIZORAM (15),Nagaland,82
State - MIZORAM (15),Manipur,"2,267"
State - MIZORAM (15),Mizoram,0
State - MIZORAM (15),Tripura,596
State - MIZORAM (15),Meghalaya,528
State - MIZORAM (15),Assam,"5,882"
State - MIZORAM (15),West Bengal,259
State - MIZORAM (15),Jharkhand,773
State - MIZORAM (15),Odisha,26
State - MIZORAM (15),Chhattisgarh,6
State - MIZORAM (15),Madhya Pradesh,27
State - MIZORAM (15),Gujarat,5
State - MIZORAM (15),Daman & Diu,0
State - MIZORAM (15),Dadra & Nagar Haveli,0
State - MIZORAM (15),Maharashtra,24
State - MIZORAM (15),Andhra Pradesh,33
State - MIZORAM (15),Karnataka,28
State - MIZORAM (15),Goa,1
State - MIZORAM (15),Lakshadweep,0
State - MIZORAM (15),Kerala,121
State - MIZORAM (15),Tamil Nadu,32
State - MIZORAM (15),Puducherry,2
State - MIZORAM (15),Andaman & Nicobar Islands,1
State - MIZORAM (15),Last residence outside India,"3,437"
State - MIZORAM (15),Countries in Asia beyond India,"3,378"
State - MIZORAM (15),Other Countries,59
State - MIZORAM (15),Unclassifiable,5
State - TRIPURA (16),Total,"92,097"
State - TRIPURA (16),Last residence within India,"81,304"
State - TRIPURA (16),Within the state of enumeration but outside the place of enumeration,"58,618"
State - TRIPURA (16),Elsewhere in the district of enumeration,"44,099"
State - TRIPURA (16),In other districts of the state of enumeration,"14,519"
State - TRIPURA (16),States in India beyond the state of enumeration,"22,686"
State - TRIPURA (16),Jammu & Kashmir,32
State - TRIPURA (16),Himachal Pradesh,19
State - TRIPURA (16),Punjab,20
State - TRIPURA (16),Chandigarh,3
State - TRIPURA (16),Uttarakhand,39
State - TRIPURA (16),Haryana,17
State - TRIPURA (16),NCT of Delhi,52
State - TRIPURA (16),Rajasthan,75
State - TRIPURA (16),Uttar Pradesh,742
State - TRIPURA (16),Bihar,"6,274"
State - TRIPURA (16),Sikkim,1
State - TRIPURA (16),Arunachal Pradesh,38
State - TRIPURA (16),Nagaland,65
State - TRIPURA (16),Manipur,107
State - TRIPURA (16),Mizoram,204
State - TRIPURA (16),Tripura,0
State - TRIPURA (16),Meghalaya,159
State - TRIPURA (16),Assam,"3,759"
State - TRIPURA (16),West Bengal,"1,062"
State - TRIPURA (16),Jharkhand,"9,576"
State - TRIPURA (16),Odisha,101
State - TRIPURA (16),Chhattisgarh,17
State - TRIPURA (16),Madhya Pradesh,33
State - TRIPURA (16),Gujarat,37
State - TRIPURA (16),Daman & Diu,0
State - TRIPURA (16),Dadra & Nagar Haveli,1
State - TRIPURA (16),Maharashtra,60
State - TRIPURA (16),Andhra Pradesh,39
State - TRIPURA (16),Karnataka,34
State - TRIPURA (16),Goa,2
State - TRIPURA (16),Lakshadweep,3
State - TRIPURA (16),Kerala,58
State - TRIPURA (16),Tamil Nadu,52
State - TRIPURA (16),Puducherry,4
State - TRIPURA (16),Andaman & Nicobar Islands,1
State - TRIPURA (16),Last residence outside India,"10,746"
State - TRIPURA (16),Countries in Asia beyond India,"10,360"
State - TRIPURA (16),Other Countries,386
State - TRIPURA (16),Unclassifiable,47
State - MEGHALAYA (17),Total,"52,797"
State - MEGHALAYA (17),Last residence within India,"51,673"
State - MEGHALAYA (17),Within the state of enumeration but outside the place of enumeration,"31,220"
State - MEGHALAYA (17),Elsewhere in the district of enumeration,"19,497"
State - MEGHALAYA (17),In other districts of the state of enumeration,"11,723"
State - MEGHALAYA (17),States in India beyond the state of enumeration,"20,453"
State - MEGHALAYA (17),Jammu & Kashmir,41
State - MEGHALAYA (17),Himachal Pradesh,41
State - MEGHALAYA (17),Punjab,196
State - MEGHALAYA (17),Chandigarh,8
State - MEGHALAYA (17),Uttarakhand,94
State - MEGHALAYA (17),Haryana,31
State - MEGHALAYA (17),NCT of Delhi,0
State - MEGHALAYA (17),Rajasthan,358
State - MEGHALAYA (17),Uttar Pradesh,491
State - MEGHALAYA (17),Bihar,"4,305"
State - MEGHALAYA (17),Sikkim,32
State - MEGHALAYA (17),Arunachal Pradesh,305
State - MEGHALAYA (17),Nagaland,306
State - MEGHALAYA (17),Manipur,"1,225"
State - MEGHALAYA (17),Mizoram,340
State - MEGHALAYA (17),Tripura,906
State - MEGHALAYA (17),Meghalaya,0
State - MEGHALAYA (17),Assam,"9,794"
State - MEGHALAYA (17),West Bengal,"1,136"
State - MEGHALAYA (17),Jharkhand,148
State - MEGHALAYA (17),Odisha,136
State - MEGHALAYA (17),Chhattisgarh,14
State - MEGHALAYA (17),Madhya Pradesh,50
State - MEGHALAYA (17),Gujarat,18
State - MEGHALAYA (17),Daman & Diu,0
State - MEGHALAYA (17),Dadra & Nagar Haveli,0
State - MEGHALAYA (17),Maharashtra,93
State - MEGHALAYA (17),Andhra Pradesh,72
State - MEGHALAYA (17),Karnataka,55
State - MEGHALAYA (17),Goa,7
State - MEGHALAYA (17),Lakshadweep,0
State - MEGHALAYA (17),Kerala,181
State - MEGHALAYA (17),Tamil Nadu,63
State - MEGHALAYA (17),Puducherry,6
State - MEGHALAYA (17),Andaman & Nicobar Islands,1
State - MEGHALAYA (17),Last residence outside India,"1,102"
State - MEGHALAYA (17),Countries in Asia beyond India,"1,033"
State - MEGHALAYA (17),Other Countries,69
State - MEGHALAYA (17),Unclassifiable,22
State - ASSAM (18),Total,"572,064"
State - ASSAM (18),Last residence within India,"565,654"
State - ASSAM (18),Within the state of enumeration but outside the place of enumeration,"484,091"
State - ASSAM (18),Elsewhere in the district of enumeration,"255,735"
State - ASSAM (18),In other districts of the state of enumeration,"228,356"
State - ASSAM (18),States in India beyond the state of enumeration,"81,563"
State - ASSAM (18),Jammu & Kashmir,198
State - ASSAM (18),Himachal Pradesh,116
State - ASSAM (18),Punjab,540
State - ASSAM (18),Chandigarh,36
State - ASSAM (18),Uttarakhand,293
State - ASSAM (18),Haryana,437
State - ASSAM (18),NCT of Delhi,488
State - ASSAM (18),Rajasthan,"2,958"
State - ASSAM (18),Uttar Pradesh,"6,675"
State - ASSAM (18),Bihar,"33,309"
State - ASSAM (18),Sikkim,161
State - ASSAM (18),Arunachal Pradesh,"1,700"
State - ASSAM (18),Nagaland,"2,182"
State - ASSAM (18),Manipur,"1,710"
State - ASSAM (18),Mizoram,527
State - ASSAM (18),Tripura,"4,948"
State - ASSAM (18),Meghalaya,"4,806"
State - ASSAM (18),Assam,0
State - ASSAM (18),West Bengal,"11,237"
State - ASSAM (18),Jharkhand,"3,359"
State - ASSAM (18),Odisha,"1,620"
State - ASSAM (18),Chhattisgarh,402
State - ASSAM (18),Madhya Pradesh,541
State - ASSAM (18),Gujarat,303
State - ASSAM (18),Daman & Diu,0
State - ASSAM (18),Dadra & Nagar Haveli,1
State - ASSAM (18),Maharashtra,502
State - ASSAM (18),Andhra Pradesh,"1,338"
State - ASSAM (18),Karnataka,192
State - ASSAM (18),Goa,8
State - ASSAM (18),Lakshadweep,6
State - ASSAM (18),Kerala,579
State - ASSAM (18),Tamil Nadu,363
State - ASSAM (18),Puducherry,5
State - ASSAM (18),Andaman & Nicobar Islands,23
State - ASSAM (18),Last residence outside India,"6,275"
State - ASSAM (18),Countries in Asia beyond India,"5,242"
State - ASSAM (18),Other Countries,"1,033"
State - ASSAM (18),Unclassifiable,135
State - WEST BENGAL (19),Total,"1,656,952"
State - WEST BENGAL (19),Last residence within India,"1,516,191"
State - WEST BENGAL (19),Within the state of enumeration but outside the place of enumeration,"1,047,418"
State - WEST BENGAL (19),Elsewhere in the district of enumeration,"546,863"
State - WEST BENGAL (19),In other districts of the state of enumeration,"500,555"
State - WEST BENGAL (19),States in India beyond the state of enumeration,"468,773"
State - WEST BENGAL (19),Jammu & Kashmir,500
State - WEST BENGAL (19),Himachal Pradesh,274
State - WEST BENGAL (19),Punjab,"2,779"
State - WEST BENGAL (19),Chandigarh,106
State - WEST BENGAL (19),Uttarakhand,562
State - WEST BENGAL (19),Haryana,"1,575"
State - WEST BENGAL (19),NCT of Delhi,"2,099"
State - WEST BENGAL (19),Rajasthan,"7,462"
State - WEST BENGAL (19),Uttar Pradesh,"55,164"
State - WEST BENGAL (19),Bihar,"269,356"
State - WEST BENGAL (19),Sikkim,758
State - WEST BENGAL (19),Arunachal Pradesh,244
State - WEST BENGAL (19),Nagaland,498
State - WEST BENGAL (19),Manipur,304
State - WEST BENGAL (19),Mizoram,86
State - WEST BENGAL (19),Tripura,"2,881"
State - WEST BENGAL (19),Meghalaya,811
State - WEST BENGAL (19),Assam,"16,480"
State - WEST BENGAL (19),West Bengal,0
State - WEST BENGAL (19),Jharkhand,"57,234"
State - WEST BENGAL (19),Odisha,"31,897"
State - WEST BENGAL (19),Chhattisgarh,"1,631"
State - WEST BENGAL (19),Madhya Pradesh,"2,164"
State - WEST BENGAL (19),Gujarat,"1,808"
State - WEST BENGAL (19),Daman & Diu,4
State - WEST BENGAL (19),Dadra & Nagar Haveli,19
State - WEST BENGAL (19),Maharashtra,"3,768"
State - WEST BENGAL (19),Andhra Pradesh,"3,382"
State - WEST BENGAL (19),Karnataka,991
State - WEST BENGAL (19),Goa,64
State - WEST BENGAL (19),Lakshadweep,12
State - WEST BENGAL (19),Kerala,"1,942"
State - WEST BENGAL (19),Tamil Nadu,"1,692"
State - WEST BENGAL (19),Puducherry,29
State - WEST BENGAL (19),Andaman & Nicobar Islands,197
State - WEST BENGAL (19),Last residence outside India,"139,901"
State - WEST BENGAL (19),Countries in Asia beyond India,"136,655"
State - WEST BENGAL (19),Other Countries,"3,246"
State - WEST BENGAL (19),Unclassifiable,860
State - JHARKHAND (20),Total,"824,259"
State - JHARKHAND (20),Last residence within India,"818,693"
State - JHARKHAND (20),Within the state of enumeration but outside the place of enumeration,"403,723"
State - JHARKHAND (20),Elsewhere in the district of enumeration,"213,847"
State - JHARKHAND (20),In other districts of the state of enumeration,"189,876"
State - JHARKHAND (20),States in India beyond the state of enumeration,"414,970"
State - JHARKHAND (20),Jammu & Kashmir,253
State - JHARKHAND (20),Himachal Pradesh,241
State - JHARKHAND (20),Punjab,"2,641"
State - JHARKHAND (20),Chandigarh,53
State - JHARKHAND (20),Uttarakhand,271
State - JHARKHAND (20),Haryana,860
State - JHARKHAND (20),NCT of Delhi,"1,601"
State - JHARKHAND (20),Rajasthan,"2,309"
State - JHARKHAND (20),Uttar Pradesh,"24,660"
State - JHARKHAND (20),Bihar,"292,428"
State - JHARKHAND (20),Sikkim,32
State - JHARKHAND (20),Arunachal Pradesh,35
State - JHARKHAND (20),Nagaland,43
State - JHARKHAND (20),Manipur,192
State - JHARKHAND (20),Mizoram,12
State - JHARKHAND (20),Tripura,104
State - JHARKHAND (20),Meghalaya,76
State - JHARKHAND (20),Assam,881
State - JHARKHAND (20),West Bengal,"54,724"
State - JHARKHAND (20),Jharkhand,0
State - JHARKHAND (20),Odisha,"17,676"
State - JHARKHAND (20),Chhattisgarh,"5,359"
State - JHARKHAND (20),Madhya Pradesh,"1,975"
State - JHARKHAND (20),Gujarat,"1,185"
State - JHARKHAND (20),Daman & Diu,1
State - JHARKHAND (20),Dadra & Nagar Haveli,2
State - JHARKHAND (20),Maharashtra,"2,149"
State - JHARKHAND (20),Andhra Pradesh,"2,122"
State - JHARKHAND (20),Karnataka,489
State - JHARKHAND (20),Goa,66
State - JHARKHAND (20),Lakshadweep,3
State - JHARKHAND (20),Kerala,"1,424"
State - JHARKHAND (20),Tamil Nadu,"1,046"
State - JHARKHAND (20),Puducherry,16
State - JHARKHAND (20),Andaman & Nicobar Islands,41
State - JHARKHAND (20),Last residence outside India,"5,184"
State - JHARKHAND (20),Countries in Asia beyond India,"3,571"
State - JHARKHAND (20),Other Countries,"1,613"
State - JHARKHAND (20),Unclassifiable,382
State - ODISHA (21),Total,"851,363"
State - ODISHA (21),Last residence within India,"846,903"
State - ODISHA (21),Within the state of enumeration but outside the place of enumeration,"724,156"
State - ODISHA (21),Elsewhere in the district of enumeration,"309,656"
State - ODISHA (21),In other districts of the state of enumeration,"414,500"
State - ODISHA (21),States in India beyond the state of enumeration,"122,747"
State - ODISHA (21),Jammu & Kashmir,407
State - ODISHA (21),Himachal Pradesh,152
State - ODISHA (21),Punjab,"1,187"
State - ODISHA (21),Chandigarh,64
State - ODISHA (21),Uttarakhand,255
State - ODISHA (21),Haryana,679
State - ODISHA (21),NCT of Delhi,"1,721"
State - ODISHA (21),Rajasthan,"1,707"
State - ODISHA (21),Uttar Pradesh,"7,076"
State - ODISHA (21),Bihar,"25,101"
State - ODISHA (21),Sikkim,40
State - ODISHA (21),Arunachal Pradesh,48
State - ODISHA (21),Nagaland,105
State - ODISHA (21),Manipur,107
State - ODISHA (21),Mizoram,18
State - ODISHA (21),Tripura,175
State - ODISHA (21),Meghalaya,86
State - ODISHA (21),Assam,797
State - ODISHA (21),West Bengal,"21,581"
State - ODISHA (21),Jharkhand,"24,288"
State - ODISHA (21),Odisha,0
State - ODISHA (21),Chhattisgarh,"7,528"
State - ODISHA (21),Madhya Pradesh,"1,951"
State - ODISHA (21),Gujarat,"5,100"
State - ODISHA (21),Daman & Diu,2
State - ODISHA (21),Dadra & Nagar Haveli,4
State - ODISHA (21),Maharashtra,"2,903"
State - ODISHA (21),Andhra Pradesh,"15,122"
State - ODISHA (21),Karnataka,"1,263"
State - ODISHA (21),Goa,89
State - ODISHA (21),Lakshadweep,0
State - ODISHA (21),Kerala,"1,396"
State - ODISHA (21),Tamil Nadu,"1,716"
State - ODISHA (21),Puducherry,31
State - ODISHA (21),Andaman & Nicobar Islands,48
State - ODISHA (21),Last residence outside India,"4,053"
State - ODISHA (21),Countries in Asia beyond India,"2,200"
State - ODISHA (21),Other Countries,"1,853"
State - ODISHA (21),Unclassifiable,407
State - CHHATTISGARH (22),Total,"1,021,077"
State - CHHATTISGARH (22),Last residence within India,"1,013,733"
State - CHHATTISGARH (22),Within the state of enumeration but outside the place of enumeration,"714,812"
State - CHHATTISGARH (22),Elsewhere in the district of enumeration,"404,066"
State - CHHATTISGARH (22),In other districts of the state of enumeration,"310,746"
State - CHHATTISGARH (22),States in India beyond the state of enumeration,"298,921"
State - CHHATTISGARH (22),Jammu & Kashmir,"1,464"
State - CHHATTISGARH (22),Himachal Pradesh,468
State - CHHATTISGARH (22),Punjab,"4,747"
State - CHHATTISGARH (22),Chandigarh,72
State - CHHATTISGARH (22),Uttarakhand,657
State - CHHATTISGARH (22),Haryana,"3,455"
State - CHHATTISGARH (22),NCT of Delhi,"2,353"
State - CHHATTISGARH (22),Rajasthan,"5,249"
State - CHHATTISGARH (22),Uttar Pradesh,"47,212"
State - CHHATTISGARH (22),Bihar,"44,747"
State - CHHATTISGARH (22),Sikkim,22
State - CHHATTISGARH (22),Arunachal Pradesh,23
State - CHHATTISGARH (22),Nagaland,32
State - CHHATTISGARH (22),Manipur,23
State - CHHATTISGARH (22),Mizoram,6
State - CHHATTISGARH (22),Tripura,69
State - CHHATTISGARH (22),Meghalaya,31
State - CHHATTISGARH (22),Assam,792
State - CHHATTISGARH (22),West Bengal,"16,104"
State - CHHATTISGARH (22),Jharkhand,"23,379"
State - CHHATTISGARH (22),Odisha,"42,989"
State - CHHATTISGARH (22),Chhattisgarh,0
State - CHHATTISGARH (22),Madhya Pradesh,"63,137"
State - CHHATTISGARH (22),Gujarat,"2,998"
State - CHHATTISGARH (22),Daman & Diu,12
State - CHHATTISGARH (22),Dadra & Nagar Haveli,2
State - CHHATTISGARH (22),Maharashtra,"21,979"
State - CHHATTISGARH (22),Andhra Pradesh,"10,812"
State - CHHATTISGARH (22),Karnataka,785
State - CHHATTISGARH (22),Goa,56
State - CHHATTISGARH (22),Lakshadweep,6
State - CHHATTISGARH (22),Kerala,"3,691"
State - CHHATTISGARH (22),Tamil Nadu,"1,484"
State - CHHATTISGARH (22),Puducherry,8
State - CHHATTISGARH (22),Andaman & Nicobar Islands,57
State - CHHATTISGARH (22),Last residence outside India,"6,891"
State - CHHATTISGARH (22),Countries in Asia beyond India,"4,150"
State - CHHATTISGARH (22),Other Countries,"2,741"
State - CHHATTISGARH (22),Unclassifiable,453
State - MADHYA PRADESH (23),Total,"2,415,635"
State - MADHYA PRADESH (23),Last residence within India,"2,403,872"
State - MADHYA PRADESH (23),Within the state of enumeration but outside the place of enumeration,"1,965,070"
State - MADHYA PRADESH (23),Elsewhere in the district of enumeration,"1,042,322"
State - MADHYA PRADESH (23),In other districts of the state of enumeration,"922,748"
State - MADHYA PRADESH (23),States in India beyond the state of enumeration,"438,802"
State - MADHYA PRADESH (23),Jammu & Kashmir,"1,111"
State - MADHYA PRADESH (23),Himachal Pradesh,926
State - MADHYA PRADESH (23),Punjab,"7,146"
State - MADHYA PRADESH (23),Chandigarh,138
State - MADHYA PRADESH (23),Uttarakhand,"3,072"
State - MADHYA PRADESH (23),Haryana,"4,069"
State - MADHYA PRADESH (23),NCT of Delhi,"5,017"
State - MADHYA PRADESH (23),Rajasthan,"53,236"
State - MADHYA PRADESH (23),Uttar Pradesh,"171,808"
State - MADHYA PRADESH (23),Bihar,"40,473"
State - MADHYA PRADESH (23),Sikkim,45
State - MADHYA PRADESH (23),Arunachal Pradesh,52
State - MADHYA PRADESH (23),Nagaland,51
State - MADHYA PRADESH (23),Manipur,110
State - MADHYA PRADESH (23),Mizoram,48
State - MADHYA PRADESH (23),Tripura,109
State - MADHYA PRADESH (23),Meghalaya,70
State - MADHYA PRADESH (23),Assam,990
State - MADHYA PRADESH (23),West Bengal,"16,040"
State - MADHYA PRADESH (23),Jharkhand,"11,584"
State - MADHYA PRADESH (23),Odisha,"6,085"
State - MADHYA PRADESH (23),Chhattisgarh,"30,389"
State - MADHYA PRADESH (23),Madhya Pradesh,0
State - MADHYA PRADESH (23),Gujarat,"10,451"
State - MADHYA PRADESH (23),Daman & Diu,49
State - MADHYA PRADESH (23),Dadra & Nagar Haveli,9
State - MADHYA PRADESH (23),Maharashtra,"58,083"
State - MADHYA PRADESH (23),Andhra Pradesh,"4,559"
State - MADHYA PRADESH (23),Karnataka,"1,597"
State - MADHYA PRADESH (23),Goa,181
State - MADHYA PRADESH (23),Lakshadweep,18
State - MADHYA PRADESH (23),Kerala,"8,611"
State - MADHYA PRADESH (23),Tamil Nadu,"2,615"
State - MADHYA PRADESH (23),Puducherry,18
State - MADHYA PRADESH (23),Andaman & Nicobar Islands,42
State - MADHYA PRADESH (23),Last residence outside India,"10,913"
State - MADHYA PRADESH (23),Countries in Asia beyond India,"7,928"
State - MADHYA PRADESH (23),Other Countries,"2,985"
State - MADHYA PRADESH (23),Unclassifiable,850
State - GUJARAT (24),Total,"3,041,779"
State - GUJARAT (24),Last residence within India,"3,017,746"
State - GUJARAT (24),Within the state of enumeration but outside the place of enumeration,"1,896,002"
State - GUJARAT (24),Elsewhere in the district of enumeration,"800,157"
State - GUJARAT (24),In other districts of the state of enumeration,"1,095,845"
State - GUJARAT (24),States in India beyond the state of enumeration,"1,121,744"
State - GUJARAT (24),Jammu & Kashmir,984
State - GUJARAT (24),Himachal Pradesh,"1,103"
State - GUJARAT (24),Punjab,"6,877"
State - GUJARAT (24),Chandigarh,312
State - GUJARAT (24),Uttarakhand,"3,698"
State - GUJARAT (24),Haryana,"6,323"
State - GUJARAT (24),NCT of Delhi,"5,838"
State - GUJARAT (24),Rajasthan,"154,783"
State - GUJARAT (24),Uttar Pradesh,"346,417"
State - GUJARAT (24),Bihar,"161,946"
State - GUJARAT (24),Sikkim,27
State - GUJARAT (24),Arunachal Pradesh,65
State - GUJARAT (24),Nagaland,53
State - GUJARAT (24),Manipur,101
State - GUJARAT (24),Mizoram,8
State - GUJARAT (24),Tripura,211
State - GUJARAT (24),Meghalaya,100
State - GUJARAT (24),Assam,"3,955"
State - GUJARAT (24),West Bengal,"32,068"
State - GUJARAT (24),Jharkhand,"28,012"
State - GUJARAT (24),Odisha,"77,284"
State - GUJARAT (24),Chhattisgarh,"4,366"
State - GUJARAT (24),Madhya Pradesh,"72,459"
State - GUJARAT (24),Gujarat,0
State - GUJARAT (24),Daman & Diu,959
State - GUJARAT (24),Dadra & Nagar Haveli,777
State - GUJARAT (24),Maharashtra,"174,457"
State - GUJARAT (24),Andhra Pradesh,"12,267"
State - GUJARAT (24),Karnataka,"5,995"
State - GUJARAT (24),Goa,399
State - GUJARAT (24),Lakshadweep,4
State - GUJARAT (24),Kerala,"12,500"
State - GUJARAT (24),Tamil Nadu,"7,216"
State - GUJARAT (24),Puducherry,121
State - GUJARAT (24),Andaman & Nicobar Islands,59
State - GUJARAT (24),Last residence outside India,"14,472"
State - GUJARAT (24),Countries in Asia beyond India,"12,304"
State - GUJARAT (24),Other Countries,"2,168"
State - GUJARAT (24),Unclassifiable,"9,561"
State - DAMAN & DIU (25),Total,"73,782"
State - DAMAN & DIU (25),Last residence within India,"72,486"
State - DAMAN & DIU (25),Within the state of enumeration but outside the place of enumeration,"2,438"
State - DAMAN & DIU (25),Elsewhere in the district of enumeration,"2,216"
State - DAMAN & DIU (25),In other districts of the state of enumeration,222
State - DAMAN & DIU (25),States in India beyond the state of enumeration,"70,048"
State - DAMAN & DIU (25),Jammu & Kashmir,22
State - DAMAN & DIU (25),Himachal Pradesh,42
State - DAMAN & DIU (25),Punjab,104
State - DAMAN & DIU (25),Chandigarh,18
State - DAMAN & DIU (25),Uttarakhand,231
State - DAMAN & DIU (25),Haryana,65
State - DAMAN & DIU (25),NCT of Delhi,250
State - DAMAN & DIU (25),Rajasthan,"2,120"
State - DAMAN & DIU (25),Uttar Pradesh,"18,084"
State - DAMAN & DIU (25),Bihar,"19,854"
State - DAMAN & DIU (25),Sikkim,0
State - DAMAN & DIU (25),Arunachal Pradesh,5
State - DAMAN & DIU (25),Nagaland,2
State - DAMAN & DIU (25),Manipur,6
State - DAMAN & DIU (25),Mizoram,0
State - DAMAN & DIU (25),Tripura,26
State - DAMAN & DIU (25),Meghalaya,1
State - DAMAN & DIU (25),Assam,"1,418"
State - DAMAN & DIU (25),West Bengal,"3,557"
State - DAMAN & DIU (25),Jharkhand,"2,686"
State - DAMAN & DIU (25),Odisha,"3,419"
State - DAMAN & DIU (25),Chhattisgarh,184
State - DAMAN & DIU (25),Madhya Pradesh,"5,593"
State - DAMAN & DIU (25),Gujarat,"5,395"
State - DAMAN & DIU (25),Daman & Diu,0
State - DAMAN & DIU (25),Dadra & Nagar Haveli,62
State - DAMAN & DIU (25),Maharashtra,"5,969"
State - DAMAN & DIU (25),Andhra Pradesh,161
State - DAMAN & DIU (25),Karnataka,248
State - DAMAN & DIU (25),Goa,40
State - DAMAN & DIU (25),Lakshadweep,16
State - DAMAN & DIU (25),Kerala,320
State - DAMAN & DIU (25),Tamil Nadu,132
State - DAMAN & DIU (25),Puducherry,4
State - DAMAN & DIU (25),Andaman & Nicobar Islands,14
State - DAMAN & DIU (25),Last residence outside India,"1,090"
State - DAMAN & DIU (25),Countries in Asia beyond India,"1,054"
