Destination_state,Origin_state,Total migrants employment
State - PUNJAB (03),Jammu & Kashmir,"9,150"
State - PUNJAB (03),Himachal Pradesh,"36,237"
State - PUNJAB (03),Punjab,0
State - PUNJAB (03),Chandigarh,"14,441"
State - PUNJAB (03),Uttarakhand,"15,056"
State - PUNJAB (03),Haryana,"49,932"
State - PUNJAB (03),NCT of Delhi,"6,126"
State - PUNJAB (03),Rajasthan,"28,663"
State - PUNJAB (03),Uttar Pradesh,"230,996"
State - PUNJAB (03),Bihar,"149,495"
State - PUNJAB (03),Sikkim,73
State - PUNJAB (03),Arunachal Pradesh,59
State - PUNJAB (03),Nagaland,144
State - PUNJAB (03),Manipur,210
State - PUNJAB (03),Mizoram,136
State - PUNJAB (03),Tripura,73
State - PUNJAB (03),Meghalaya,69
State - PUNJAB (03),Assam,"2,272"
State - PUNJAB (03),West Bengal,"11,565"
State - PUNJAB (03),Jharkhand,"8,160"
State - PUNJAB (03),Odisha,"3,672"
State - PUNJAB (03),Chhattisgarh,"3,453"
State - PUNJAB (03),Madhya Pradesh,"7,923"
State - PUNJAB (03),Gujarat,"1,797"
State - PUNJAB (03),Daman & Diu,1
State - PUNJAB (03),Dadra & Nagar Haveli,1
State - PUNJAB (03),Maharashtra,"4,639"
State - PUNJAB (03),Andhra Pradesh,"1,255"
State - PUNJAB (03),Karnataka,730
State - PUNJAB (03),Goa,116
State - PUNJAB (03),Lakshadweep,34
State - PUNJAB (03),Kerala,"1,657"
State - PUNJAB (03),Tamil Nadu,"1,362"
State - PUNJAB (03),Puducherry,24
State - PUNJAB (03),Andaman & Nicobar Islands,32
State - PUNJAB (03),Last residence outside India,"28,635"
State - PUNJAB (03),Countries in Asia beyond India,"25,852"
State - PUNJAB (03),Other Countries,"2,783"
State - PUNJAB (03),Unclassifiable,242
State - CHANDIGARH (04),Total,"206,642"
State - CHANDIGARH (04),Last residence within India,"201,515"
State - CHANDIGARH (04),Within the state of enumeration but outside the place of enumeration,"1,224"
State - CHANDIGARH (04),Elsewhere in the district of enumeration,"1,224"
